,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
20452,02 - c0364 - 378_Voleti_Venkatesh,8,entaTi_kulukE,kalyANi,dharmapuri_subbarAya_iyer,Voleti Venkateswarulu,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/378_Voleti_Venkateshwarulu_MC_KM/
21447,03 - C0792 - 440-MS_gOpAlakriShNa,8,rAgam_tAnam_pallavi,kalyANi,Own/Others,MS Gopalakrishnan,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/440-MS_gOpAlakriShNan-violin-Cleveland_OH-USA-1975//
21945,15 - C0086 - 086-M.L.Vasanthakuma,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,ML Vasanthakumari,https://www.sangeethamshare.org/muralidaran/Uploads-001-100/086-M.L.Vasanthakumari-Live_Concert-5-Salem//
21127,03 - C0541 - 299-mahArAjapuram_V_,4,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,Maharajapuram Santhanam,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/299-mahArAjapuram_V_santhAnam-vocal-MVS_NM_VR-1989//
21483,10 - C0402 - 402-Bombay_Sisters-V,9,rAgam_tAnam_pallavi,kalyANi,Own/Others,Bombay Sisters,https://www.sangeethamshare.org/vijayagopal/UPLOADS-401-600/402-Bombay_Sisters-Vocal_Duet//
21600,03 - C0557 - 313-Dr_M_bAlamuraLik,8,sangItamE_varasukhadAyi,kalyANi,bAlamuraLi_krishNA,M BalamuraliKrishna,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/313-Dr_M_bAlamuraLikrishNa-Vocal-Toronto_CANADA-1979//
21904,02 - C0458 - 474_Madurai_Somu_ran,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Madurai Somasundaram,https://www.sangeethamshare.org/kasturi/UPLOADS-0401-0600/474_Madurai_Somu_ranjani_kharaharapriyA/
20779,01 - C3757 - 3689-Lalitha_Raghava,4,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Lalitha Raghavan,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3689-Lalitha_Raghavan-Violin//
21991,57 - C0263 - 263-Nedunuri_Krishna,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Nedunuri Krishnamurthy,https://www.sangeethamshare.org/sreekanth/263-Nedunuri_Krishnamurthy-Live_Concert9//
20406,01 - C2267 - 030-Trichur_V_Ramach,3,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Trichur V Ramachandran,https://www.sangeethamshare.org/tvg/SEASON_2011/030-Trichur_V_Ramachandran//
